Epoch: 190, Train loss: 0.8513, Val loss: 0.9447, Test acc: 0.4990
Epoch: 191, Train loss: 0.9647, Val loss: 0.9616, Test acc: 0.5020
Epoch: 192, Train loss: 0.8509, Val loss: 0.9724, Test acc: 0.5100
Epoch: 193, Train loss: 0.9637, Val loss: 0.9753, Test acc: 0.5040
Epoch: 194, Train loss: 0.8970, Val loss: 0.9663, Test acc: 0.5040
Epoch: 195, Train loss: 0.8810, Val loss: 0.9490, Test acc: 0.5060
Epoch: 196, Train loss: 0.8582, Val loss: 0.9389, Test acc: 0.5020
Epoch: 197, Train loss: 1.0767, Val loss: 0.9482, Test acc: 0.4990
Epoch: 198, Train loss: 0.8629, Val loss: 0.9551, Test acc: 0.4960
Epoch: 199, Train loss: 0.8588, Val loss: 0.9573, Test acc: 0.4990
Epoch: 200, Train loss: 0.9164, Val loss: 0.9564, Test acc: 0.4900
Epoch: 201, Train loss: 0.8747, Val loss: 0.9584, Test acc: 0.4920
Epoch: 202, Train loss: 0.8532, Val loss: 0.9474, Test acc: 0.4930
Epoch: 203, Train loss: 0.8569, Val loss: 0.9403, Test acc: 0.4890
Epoch: 204, Train loss: 0.8736, Val loss: 0.9383, Test acc: 0.4950
Epoch: 205, Train loss: 0.8583, Val loss: 0.9379, Test acc: 0.5160
Epoch: 206, Train loss: 0.9506, Val loss: 0.9318, Test acc: 0.5260
Epoch: 207, Train loss: 0.8804, Val loss: 0.9291, Test acc: 0.5270
Epoch: 208, Train loss: 0.8601, Val loss: 0.9233, Test acc: 0.5310
Epoch: 209, Train loss: 0.8697, Val loss: 0.9727, Test acc: 0.4910
Epoch: 210, Train loss: 0.8537, Val loss: 0.9600, Test acc: 0.4960
Epoch: 211, Train loss: 0.9422, Val loss: 0.9591, Test acc: 0.5110
Epoch: 212, Train loss: 0.8542, Val loss: 0.9437, Test acc: 0.5100
Epoch: 213, Train loss: 0.8867, Val loss: 0.9541, Test acc: 0.4890
Epoch: 214, Train loss: 0.8553, Val loss: 0.9534, Test acc: 0.5070
Epoch: 215, Train loss: 0.8626, Val loss: 0.9418, Test acc: 0.5070
Epoch: 216, Train loss: 0.9580, Val loss: 0.9428, Test acc: 0.5140
Epoch: 217, Train loss: 0.8544, Val loss: 0.9578, Test acc: 0.5050
Epoch: 218, Train loss: 0.8288, Val loss: 0.9761, Test acc: 0.5030
Epoch: 219, Train loss: 0.8367, Val loss: 0.9870, Test acc: 0.5390
Epoch: 220, Train loss: 0.8139, Val loss: 0.9810, Test acc: 0.5530
Epoch: 221, Train loss: 0.8603, Val loss: 0.9621, Test acc: 0.5830
Epoch: 222, Train loss: 0.8938, Val loss: 0.9448, Test acc: 0.5690
Epoch: 223, Train loss: 0.9059, Val loss: 0.9436, Test acc: 0.5650
Epoch: 224, Train loss: 0.9032, Val loss: 0.9499, Test acc: 0.5440
Epoch: 225, Train loss: 0.8442, Val loss: 0.9610, Test acc: 0.5340
Epoch: 226, Train loss: 0.8194, Val loss: 0.9731, Test acc: 0.5070
Epoch: 227, Train loss: 0.8983, Val loss: 0.9627, Test acc: 0.5140
Epoch: 228, Train loss: 0.9896, Val loss: 0.9541, Test acc: 0.5270
Epoch: 229, Train loss: 0.8730, Val loss: 0.9534, Test acc: 0.5480
Epoch: 230, Train loss: 0.8136, Val loss: 0.9403, Test acc: 0.5730
Epoch: 231, Train loss: 0.9421, Val loss: 0.9420, Test acc: 0.5660
Epoch: 232, Train loss: 0.7809, Val loss: 0.9319, Test acc: 0.5740
Epoch: 233, Train loss: 0.8980, Val loss: 0.9405, Test acc: 0.5720
Epoch: 234, Train loss: 0.8547, Val loss: 0.9584, Test acc: 0.5460
Epoch: 235, Train loss: 0.9351, Val loss: 0.9712, Test acc: 0.5050
Epoch: 236, Train loss: 0.9028, Val loss: 0.9699, Test acc: 0.5000
Epoch: 237, Train loss: 0.8706, Val loss: 0.9585, Test acc: 0.5020
Epoch: 238, Train loss: 0.8767, Val loss: 0.9332, Test acc: 0.5140
Epoch: 239, Train loss: 0.8912, Val loss: 0.9614, Test acc: 0.5010
Epoch: 240, Train loss: 0.8678, Val loss: 0.9690, Test acc: 0.4930
Epoch: 241, Train loss: 0.8668, Val loss: 0.9753, Test acc: 0.4900
Epoch: 242, Train loss: 0.8059, Val loss: 0.9701, Test acc: 0.5000
Epoch: 243, Train loss: 0.8237, Val loss: 0.9494, Test acc: 0.5110
Epoch: 244, Train loss: 0.8617, Val loss: 0.9446, Test acc: 0.5030
